date,time,day_of_week,temperature,humidity,weather,occupancy,number_of_appliances_used,total_energy_kwh,tariff_rs_per_kwh,total_electricity_bill_rs
2023-01-01,00:00:00,Sunday,30.483570765056164,65,sunny,3,4,1.304700848127656,5.16,6.73
2023-01-01,00:30:00,Sunday,27.308678494144075,81,sunny,5,6,1.7973908380501313,5.49,9.87
2023-01-01,01:00:00,Sunday,31.23844269050346,52,sunny,3,4,1.3019901117529207,5.44,7.08
2023-01-01,01:30:00,Sunday,35.61514928204013,69,cloudy,4,5,1.6061719309938531,5.4,8.67
2023-01-01,02:00:00,Sunday,26.829233126383322,91,rainy,2,4,0.4414874152888816,5.27,2.33
2023-01-01,02:30:00,Sunday,26.8293152152541,71,cloudy,1,1,0.6240450503988395,5.22,3.26
2023-01-01,03:00:00,Sunday,35.896064077536955,75,sunny,4,5,1.6940804383381562,5.31,9.0
2023-01-01,03:30:00,Sunday,31.837173645764544,58,cloudy,4,6,1.6073540187109387,5.29,8.5
2023-01-01,04:00:00,Sunday,25.65262807032524,61,sunny,4,6,1.5716952207050336,5.45,8.57
2023-01-01,04:30:00,Sunday,30.712800217929825,40,sunny,3,4,1.287587239090278,5.49,7.07
2023-01-01,05:00:00,Sunday,25.682911535937688,50,sunny,1,1,0.5356554887620197,5.47,2.93
2023-01-01,05:30:00,Sunday,25.671351232148716,65,rainy,5,6,2.9995278230754745,5.39,5.39
2023-01-01,06:00:00,Sunday,29.20981135783017,87,cloudy,4,4,1.5541557558083385,5.23,8.13
2023-01-01,06:30:00,Sunday,18.43359877671101,58,sunny,2,2,0.6060745503401491,5.39,3.27
2023-01-01,07:00:00,Sunday,19.375410837434835,58,windy,1,2,0.23024693134802413,5.4,1.24
2023-01-01,07:30:00,Sunday,25.188562353795135,51,cloudy,5,5,1.6246674231006024,5.12,8.32
2023-01-01,08:00:00,Sunday,22.93584439832788,42,sunny,2,2,2.493258231340958,6.32,15.76
2023-01-01,08:30:00,Sunday,29.571236662976368,94,sunny,5,5,6.514019220125508,7.59,49.44
2023-01-01,09:00:00,Sunday,23.459879622393945,57,windy,5,6,2.6066512435516596,6.25,16.29
2023-01-01,09:30:00,Sunday,20.938481493323543,88,sunny,1,1,1.2793065894752387,5.35,6.84
2023-01-01,10:00:00,Sunday,35.32824384460777,44,cloudy,3,3,5.481425766169805,6.77,37.11
2023-01-01,10:30:00,Sunday,26.871118497567323,87,windy,2,4,1.4815445629254218,5.33,7.9
2023-01-01,11:00:00,Sunday,28.33764102343962,63,cloudy,4,5,4.817365716620206,6.13,29.53
2023-01-01,11:30:00,Sunday,20.87625906893272,53,cloudy,5,5,4.750863081103604,5.88,27.94
2023-01-01,12:00:00,Sunday,25.278086377374088,90,cloudy,2,3,1.9719628215184308,5.09,10.04
2023-01-01,12:30:00,Sunday,28.55461294854933,77,cloudy,1,2,2.247597096849721,5.94,13.35
2023-01-01,13:00:00,Sunday,22.245032112888488,42,rainy,2,4,1.2193929994073058,5.46,6.66
2023-01-01,13:30:00,Sunday,29.87849009172836,45,sunny,4,6,5.3451818073876165,7.43,39.71
2023-01-01,14:00:00,Sunday,24.996806550405974,51,cloudy,4,4,4.1799376532624155,5.86,24.49
2023-01-01,14:30:00,Sunday,26.541531251033618,91,windy,1,1,0.9154529939231266,5.13,4.7
2023-01-01,15:00:00,Sunday,24.991466938853016,50,rainy,2,2,1.4480709299508374,5.25,7.6
2023-01-01,15:30:00,Sunday,37.26139092254469,78,rainy,3,4,2.8637684358534066,6.26,17.93
2023-01-01,16:00:00,Sunday,27.93251387631033,65,rainy,3,5,1.9161016953654697,5.36,10.27
2023-01-01,16:30:00,Sunday,22.711445355220498,40,cloudy,5,7,6.3327309194267265,7.55,47.81
2023-01-01,17:00:00,Sunday,32.11272456051594,55,sunny,5,5,7.225762675098236,6.88,49.71
2023-01-01,17:30:00,Sunday,21.895781750144888,87,cloudy,2,4,2.5587279410020356,6.0,15.35
2023-01-01,18:00:00,Sunday,29.044317975023777,88,windy,5,6,2.9753437903132482,5.76,17.14
2023-01-01,18:30:00,Sunday,18.201649380601122,86,sunny,4,4,4.1565255063185775,6.28,26.1
2023-01-01,19:00:00,Sunday,21.359069755507846,92,windy,1,3,0.5529296447931331,5.23,2.89
2023-01-01,19:30:00,Sunday,28.984306179345616,48,windy,5,5,3.5870658328504845,5.93,21.27
2023-01-01,20:00:00,Sunday,31.692332899977053,44,windy,3,4,2.1159867039891527,6.32,13.37
2023-01-01,20:30:00,Sunday,28.85684140594985,91,rainy,4,5,2.3032034297737414,6.23,14.35
2023-01-01,21:00:00,Sunday,27.421758588058797,47,sunny,3,3,3.972323220774837,5.98,23.75
2023-01-01,21:30:00,Sunday,26.494481522053555,60,cloudy,5,5,5.114190488683081,6.95,35.54
2023-01-01,22:00:00,Sunday,20.607390048162863,72,sunny,5,7,5.3064334085363685,7.32,38.84
2023-01-01,22:30:00,Sunday,24.400778958026457,78,sunny,4,5,4.554671513441722,6.44,29.33
2023-01-01,23:00:00,Sunday,25.696806145201062,82,windy,3,4,0.5822848499627558,5.24,3.05
2023-01-01,23:30:00,Sunday,33.285611131094576,59,cloudy,1,1,0.6272612974364288,5.06,3.17
2023-01-02,00:00:00,Monday,29.71809144784231,92,sunny,1,3,0.6777051226929183,5.44,3.69
2023-01-02,00:30:00,Monday,19.18479922318633,84,sunny,4,4,1.3009031142854706,5.12,6.66
2023-01-02,01:00:00,Monday,29.620419846973974,61,cloudy,5,5,2.1535671300246713,6.4,13.78
2023-01-02,01:30:00,Monday,26.074588597918417,52,cloudy,4,4,1.3530210703994392,5.42,7.33
2023-01-02,02:00:00,Monday,24.615389998470206,78,rainy,3,4,0.499335101199642,5.34,2.67
2023-01-02,02:30:00,Monday,31.05838144420434,50,sunny,1,1,0.6132737410516833,5.43,3.33
2023-01-02,03:00:00,Monday,33.154997612479754,57,cloudy,5,5,0.21875473353676012,5.77,12.62
2023-01-02,03:30:00,Monday,32.65640059558099,69,sunny,3,5,1.496938133772132,5.43,8.13
2023-01-02,04:00:00,Monday,23.803912383886807,72,sunny,1,1,0.41110869293053526,5.3,2.18
2023-01-02,04:30:00,Monday,26.453938120743928,83,rainy,1,3,0.2435941048898223,5.12,1.25
2023-01-02,05:00:00,Monday,29.65631715701782,42,rainy,2,2,0.4972048355425201,5.16,2.57
2023-01-02,05:30:00,Monday,32.877725635611796,40,rainy,5,6,1.0014809169841767,5.4,5.41
